# L_m H_m fuel_kg V_kmh
4737.91 529.575 1398.97 570.322
4745.83 529.569 1400.81 570.613
4753.76 529.564 1402.65 570.904
4761.69 529.558 1404.49 571.195
4769.62 529.552 1406.33 571.486
4777.56 529.547 1408.17 571.776
4785.51 529.541 1410.01 572.067
4793.45 529.536 1411.85 572.357
4801.4 529.53 1413.69 572.648
4809.36 529.525 1415.53 572.938
4817.32 529.519 1417.37 573.228
4825.28 529.514 1419.21 573.518
4833.25 529.508 1421.05 573.808
4841.22 529.503 1422.9 574.098
4849.2 529.497 1424.74 574.387
4857.18 529.492 1426.58 574.677
4865.16 529.486 1428.42 574.966
4873.15 529.481 1430.26 575.255
4881.14 529.475 1432.1 575.544
4889.14 529.47 1433.94 575.833
4897.13 529.465 1435.78 576.122
4905.14 529.459 1437.62 576.411
4913.15 529.454 1439.46 576.7
4921.16 529.448 1441.3 576.988
4929.17 529.443 1443.14 577.277
4937.19 529.438 1444.98 577.565
4945.22 529.432 1446.82 577.853
4953.24 529.427 1448.66 578.141
4961.28 529.421 1450.5 578.429
4969.31 529.416 1452.34 578.717
4977.35 529.411 1454.19 579.004
4985.4 529.405 1456.03 579.292
4993.44 529.4 1457.87 579.579
5001.5 529.395 1459.71 579.867
5009.55 529.389 1461.55 580.154
5017.61 529.384 1463.39 580.441
5025.67 529.379 1465.23 580.728
5033.74 529.373 1467.07 581.015
5041.81 529.368 1468.91 581.301
5049.89 529.363 1470.75 581.588
5057.97 529.357 1472.59 581.875
5066.05 529.352 1474.43 582.161
5074.14 529.347 1476.27 582.447
5082.23 529.341 1478.11 582.733
5090.33 529.336 1479.95 583.019
5098.43 529.331 1481.79 583.305
5106.53 529.326 1483.63 583.591
5114.64 529.32 1485.48 583.876
